address,amount
TQd7KPzhVrYqe4PdkJknHS8UqRkr34VM4G,8
TMsAQB4E6iAXaQFUtRCCSntbEVFL5upodv,8
TTzJLmU2gdSu4ke92uMe1dW66jifxcWnoK,7
TBGcbpmK883i8oRkNe2HuHHjLzzMCt9VZ8,7
TSURLcRxMWVvefH5gd4X4ipsfWdCkR3nLz,7
TCYFiQJNs3KtdcW8q3isagb7Ko4h7u4rzV,7
TEKNXZ12LYTkwshe8n2sxVjzQWmLnMN1Ue,7
TJz6NEbAQiphqHjSKybaD1ovY7SLiR4kpF,7
TEt5S1Ubdy9umxL4Pw3fnP3Z7HJQzxhKnK,6
TVUhEuUD16dBPi3EUbJ7oaLjW5NdujpsRf,6
TWWTTPhBA5GJHD4hhgaAFJvz1Rj8mqg6qn,6
TAeqGFtanuKaV9tEaTg3TW5hETu1N5Yok2,5
TDiZMFTs41p37E1m99MtbCKyf5pTeMLV7D,5
TSYPpAoT4WgE56pPge463aDGCECPopq9Q4,5
TZ9ytDz993FBhB5nr6ptue3aHSLTVF59DA,5
TJABHVEmsQeVDkYetRwJcygZ3SNVhYnyuZ,5
THi1ezetmu4CXetESbPbFJqiowVwXrTpeS,5
TBeMAqKJzLH7LtiLyEyQj7JqHygcKsyP3S,5
TSmAXVrzZEkaxtztFeVjjYGKZjbZgmN4aG,5
TFtFh9aVwrPGKpXNUZYmV1UCjgKuHQj6Fg,5
TErsmr5A65iLtNZoFfDVBRYuQkd5C9VRXj,5
TF2S6gfbQDZmr765xMhfqM6FNU4W7Nf5hB,5
